ticker,rebalance_date,status,fingpt_after_sentiment_score,confidence_score,materiality_score,n_news,positive_hits,negative_hits,source,composite_signal
TSLA,2026/1/2,ok,-0.6,0.7,0.8,12,strong; expansion; exceeded expectations; bestselling,weakening demand; miss; misses; weak; weakening; delay; delays; concerns,news_keyword_score,-0.336
GOOGL,2026/1/2,ok,0.6,0.7,0.8,12,beat; growth; surge; rally; cloud growth; ai comeback; strengthening,slow,news_keyword_score,0.336
AMAT,2026/1/2,ok,0.3,0.7,0.8,12,strong; growth; raised; expansion,risk,news_keyword_score,0.168
AMD,2026/1/2,ok,-0.2,0.7,0.8,12,strong; growth; surge; partnership,cut; risk; concerns; concern; competition,news_keyword_score,-0.112
CSCO,2026/1/2,ok,0.26,0.7,0.8,12,strong; growth; rally; expansion,sell,news_keyword_score,0.1456
TSLA,2026/1/9,ok,-0.44,0.7,0.8,12,surge,concerns; concern; decline; sell; slow,news_keyword_score,-0.2464
GOOGL,2026/1/9,ok,-0.1,0.7,0.8,12,record; surge; rally,weak; concerns; concern,news_keyword_score,-0.056
AMAT,2026/1/9,ok,-0.04,0.7,0.8,12,strong; growth; raises; rally; profit,risk; fell; falls; sell; competition,news_keyword_score,-0.0224
AMZN,2026/1/9,ok,0.46,0.7,0.8,12,strong; growth; raises; raised; surge; partnership; launch,concerns; concern,news_keyword_score,0.2576
TXN,2026/1/9,ok,0.06,0.7,0.8,12,strong; record; rally,cut; dipped,news_keyword_score,0.0336
TSLA,2026/1/16,ok,-0.24,0.7,0.8,12,strong; growth; raises; profit,cut; fell; decline; sell; strong sell,news_keyword_score,-0.1344
AMAT,2026/1/16,ok,0.46,0.7,0.8,12,beat; strong; growth; upgrade; raises; record; surge; rally,risk; concerns; concern; sell,news_keyword_score,0.2576
GOOGL,2026/1/16,ok,0.6,0.7,0.8,12,beat; strong; growth; upgrade; raises; raised; record; surge,risk; challenging,news_keyword_score,0.336
COST,2026/1/16,ok,-0.18,0.7,0.8,12,strong; growth; record,miss; cut; sell; slow,news_keyword_score,-0.1008
AMD,2026/1/16,ok,0.26,0.7,0.8,12,strong; growth; raised; surge,miss,news_keyword_score,0.1456
TSLA,2026/1/23,ok,0.34,0.7,0.8,12,growth; surge; rally; partnership; launch,sell,news_keyword_score,0.1904
AMAT,2026/1/23,ok,0.6,0.7,0.8,12,beat; beats; strong; growth; raises; raised,sell,news_keyword_score,0.336
GOOGL,2026/1/23,ok,0.34,0.7,0.8,12,growth; raised; expansion; partnership; cloud growth,miss,news_keyword_score,0.1904
AMD,2026/1/23,ok,0.24,0.7,0.8,12,growth; raised; surge; rally; partnership,weak; falls,news_keyword_score,0.1344
COST,2026/1/23,ok,0.26,0.7,0.8,12,strong; growth; rally; profit,sell,news_keyword_score,0.1456
TSLA,2026/1/30,ok,0.6,0.7,0.8,12,beat; strong; record; surge; rally; expansion; partnership; profit,sell,news_keyword_score,0.336
TXN,2026/1/30,ok,0.24,0.7,0.8,12,strong; growth; raises; rally,miss,news_keyword_score,0.1344
GOOGL,2026/1/30,ok,-0.18,0.7,0.8,12,growth; upgrade; raises; record; surge; launch; profit,miss; risk; concerns; concern; falls; sell; uncertain; slow,news_keyword_score,-0.1008
AMAT,2026/1/30,ok,0.52,0.7,0.8,12,growth; upgrade; raises; raised; record; rally; strengthening,weak; decline,news_keyword_score,0.2912
META,2026/1/30,ok,0.6,0.7,0.8,12,beat; beats; strong; growth; record; surge; rally; profit,fell; sell,news_keyword_score,0.336
TSLA,2026/2/6,ok,0.1,0.7,0.8,12,strong; growth,falls,news_keyword_score,0.056
TXN,2026/2/6,ok,0.03,0.7,0.8,12,growth,sell,news_keyword_score,0.0168
CSCO,2026/2/6,ok,0.08,0.7,0.8,12,upgrade; expansion; partnership,cut; decline,news_keyword_score,0.0448
GOOGL,2026/2/6,ok,-0.02,0.7,0.8,12,beat; beats; strong; growth; record; surge; expansion; partnership,miss; misses; cut; risk; concerns; concern; fell; decline,news_keyword_score,-0.0112
AMAT,2026/2/6,ok,0.34,0.7,0.8,12,beat; strong; upgrade; raises; raised; surge,risk; fell; decline; uncertain,news_keyword_score,0.1904
TSLA,2026/2/13,ok,-0.24,0.7,0.8,12,strong; growth; partnership; profit,miss; cut; sell; competition; slow,news_keyword_score,-0.1344
TXN,2026/2/13,ok,0.12,0.7,0.8,12,beat; strong; growth; surge,cut; cuts; sell,news_keyword_score,0.0672
AMAT,2026/2/13,ok,0.5,0.7,0.8,12,beat; beats; strong; surge; profit,sell,news_keyword_score,0.28
META,2026/2/13,ok,0.32,0.7,0.8,12,beat; growth; record; profit,cut,news_keyword_score,0.1792
COST,2026/2/13,ok,0.06,0.7,0.8,12,strong; raised; partnership; launch,cut; risk; sell,news_keyword_score,0.0336
TSLA,2026/2/20,ok,-0.22,0.7,0.8,12,strong; growth; surge; launch,miss; decline; sell; investigation; slow,news_keyword_score,-0.1232
AMAT,2026/2/20,ok,0.03,0.7,0.8,12,beat; beats; strong; growth,miss; cut; risk; investigation,news_keyword_score,0.0168
TXN,2026/2/20,ok,0.04,0.7,0.8,12,beat; beats; strong; growth,weak; cut; cuts; sell,news_keyword_score,0.0224
META,2026/2/20,ok,-0.6,0.7,0.8,12,growth; record; partnership,miss; downgrade; cut; cuts; risk; dipped; falls; competition,news_keyword_score,-0.336
GOOGL,2026/2/20,ok,-0.32,0.7,0.8,12,partnership,downgrade; risk; lawsuit,news_keyword_score,-0.1792
TSLA,2026/2/27,ok,0.2,0.7,0.8,12,strong demand; beat; strong; growth; launch,falls; decline; sell; slow,news_keyword_score,0.112
AMAT,2026/2/27,ok,0.3,0.7,0.8,12,strong; growth; raised; surge; partnership,fell; sell,news_keyword_score,0.168
TXN,2026/2/27,ok,0.28,0.7,0.8,12,strong; growth; raised; surge; profit,cut; fell,news_keyword_score,0.1568
COST,2026/2/27,ok,-0.02,0.7,0.8,12,strong; upgrade; expansion; improved,fell; falls; sell; lawsuit,news_keyword_score,-0.0112
META,2026/2/27,ok,-0.6,0.7,0.8,12,beat; growth; record; launch,miss; risk; fell; sell; competition; challenging; uncertain; lawsuit,news_keyword_score,-0.336
NFLX,2026/3/6,ok,-0.28,0.7,0.8,12,growth; partnership,concerns; concern; sell; challenging,news_keyword_score,-0.1568
META,2026/3/6,ok,-0.6,0.7,0.8,12,upgrade; surge; launch,miss; downgrade; risk; concerns; concern; falls; sell; probe,news_keyword_score,-0.336
ISRG,2026/3/6,ok,0.4,0.7,0.8,12,growth; raises; surge; expansion,,news_keyword_score,0.224
AMAT,2026/3/6,ok,-0.08,0.7,0.8,12,beat; strong; growth; raised; surge; rally,risk; concerns; concern; fell; decline; sell; uncertain,news_keyword_score,-0.0448
GOOGL,2026/3/6,ok,0.46,0.7,0.8,12,strong; growth; record; partnership; launch,,news_keyword_score,0.2576
NFLX,2026/3/13,ok,-0.24,0.7,0.8,12,growth,cut; cuts; sell,news_keyword_score,-0.1344
GOOGL,2026/3/13,ok,0.16,0.7,0.8,12,strong; growth; record; launch,cut; risk,news_keyword_score,0.0896
META,2026/3/13,ok,-0.6,0.7,0.8,12,strong; growth; launch; profit,downgrade; cut; cuts; delay; delays; concerns; concern; fell,news_keyword_score,-0.336
ISRG,2026/3/13,ok,0.48,0.7,0.8,12,beat; strong; growth; upgrade; surge; rally,decline; sell,news_keyword_score,0.2688
CSCO,2026/3/13,ok,0.3,0.7,0.8,12,beat; strong; growth; record; surge; partnership; launch,cut; risk; decline; sell,news_keyword_score,0.168
NFLX,2026/3/20,ok,0.08,0.7,0.8,12,strong; growth; profit,falls; decline,news_keyword_score,0.0448
GOOGL,2026/3/20,ok,-0.18,0.7,0.8,12,growth; expansion; launch; cloud growth,risk; concerns; concern; decline; competition,news_keyword_score,-0.1008
META,2026/3/20,ok,0.24,0.7,0.8,12,strong; surge; partnership; launch,weighing on,news_keyword_score,0.1344
ISRG,2026/3/20,ok,0.3,0.7,0.8,12,beat; beats; strong; growth; surge,concern; dipped; falls,news_keyword_score,0.168
AMAT,2026/3/20,ok,0.1,0.7,0.8,12,strong; growth; raises; surge; partnership,miss; cut; competition,news_keyword_score,0.056
CSCO,2026/3/27,ok,-0.22,0.7,0.8,12,strong; growth; surge; launch,miss; cut; falls; decline; competition,news_keyword_score,-0.1232
NFLX,2026/3/27,ok,0.52,0.7,0.8,12,growth; raises; raised; surge; launch,,news_keyword_score,0.2912
ISRG,2026/3/27,ok,0.08,0.7,0.8,12,strong; growth; record; surge; profit,weak; weakening; decline,news_keyword_score,0.0448
GOOGL,2026/3/27,ok,-0.22,0.7,0.8,12,,cut; fell,news_keyword_score,-0.1232
AMAT,2026/3/27,ok,0.16,0.7,0.8,12,strong; growth; record; surge; launch; strengthening,cut; risk; fell; sell,news_keyword_score,0.0896
GOOGL,2026/4/2,ok,0.08,0.7,0.8,12,growth; upgrade; raises; launch,cut; risk; lawsuit,news_keyword_score,0.0448
NFLX,2026/4/2,ok,0.18,0.7,0.8,12,strong; growth; upgrade; profit,competition; challenging,news_keyword_score,0.1008
ISRG,2026/4/2,ok,-0.4,0.7,0.8,12,strong; growth; surge; expansion,weak; concerns; concern; fell; decline; sell; uncertain,news_keyword_score,-0.224
CSCO,2026/4/2,ok,0.08,0.7,0.8,12,strong; growth; surge; expansion,risk; fell; decline,news_keyword_score,0.0448
META,2026/4/2,ok,-0.6,0.7,0.8,12,growth; partnership; launch,weak; cut; concerns; concern; sell; competition; lawsuit,news_keyword_score,-0.336
NFLX,2026/4/10,ok,0.03,0.7,0.8,12,beat; strong; growth; expansion; profit,miss; misses; risk; decline,news_keyword_score,0.0168
GOOGL,2026/4/10,ok,0.46,0.7,0.8,12,beat; growth; raised; rally; expansion; partnership; launch; profit,cut; risk; slow,news_keyword_score,0.2576
META,2026/4/10,ok,0.28,0.7,0.8,12,growth; rally; expansion; partnership; launch,lawsuit,news_keyword_score,0.1568
ISRG,2026/4/10,ok,0.04,0.7,0.8,12,strong; growth; surge; expansion,weak; risk; decline,news_keyword_score,0.0224
AMAT,2026/4/10,ok,0.56,0.7,0.8,12,strong; raises; surge; rally; expansion; launch,,news_keyword_score,0.3136
META,2026/4/17,ok,0.36,0.7,0.8,12,strong; growth; raises; record; expansion; partnership; launch,weak; downgrade,news_keyword_score,0.2016
GOOGL,2026/4/17,ok,0.5,0.7,0.8,12,strong; growth; raised; record; expansion,,news_keyword_score,0.28
ISRG,2026/4/17,ok,0.16,0.7,0.8,12,beat; strong; growth; upgrade; surge,concerns; concern; decline; sell,news_keyword_score,0.0896
CSCO,2026/4/17,ok,0.38,0.7,0.8,12,strong; growth; raises; surge; expansion; partnership,risk; sell,news_keyword_score,0.2128
NFLX,2026/4/17,ok,0.2,0.7,0.8,12,beat; beats; strong; growth; profit,miss; cut; competition,news_keyword_score,0.112
META,2026/4/24,ok,-0.34,0.7,0.8,12,,cut; cuts; fell,news_keyword_score,-0.1904
GOOGL,2026/4/24,ok,0.18,0.7,0.8,12,beat; growth; partnership; cloud growth,probe; investigation,news_keyword_score,0.1008
ISRG,2026/4/24,ok,0.6,0.7,0.8,12,beat; strong; growth; upgrade; raised; surge; expansion,sell,news_keyword_score,0.336
AMD,2026/4/24,ok,0.34,0.7,0.8,12,growth; record; surge; rally; launch,competition,news_keyword_score,0.1904
TXN,2026/4/24,ok,0.6,0.7,0.8,12,beat; strong; upgrade; raises; record; surge,,news_keyword_score,0.336
